label,lng,Lat
437,116.2462866,39.76584496
438,116.257961,39.76592019
439,116.2696354,39.76599424
440,116.2813099,39.76606712
441,116.2929843,39.76613882
442,116.3046589,39.76620935
443,116.3163334,39.76627871
444,116.328008,39.76634689
445,116.3396827,39.7664139
446,116.3513574,39.76647973
447,116.3630321,39.76654439
448,116.3747069,39.76660788
449,116.3863817,39.76667019
450,116.3980565,39.76673132
451,116.4097314,39.76679129
452,116.4214063,39.76685007
453,116.4330812,39.76690769
454,116.4447562,39.76696413
455,116.4564312,39.76701939
456,116.4681062,39.76707348
457,116.4797813,39.7671264
458,116.4914564,39.76717814
459,116.5031315,39.76722871
460,116.5148067,39.7672781
461,116.5264819,39.76732632
462,116.5381571,39.76737337
463,116.5498323,39.76741924
464,116.5615076,39.76746393
465,116.5731829,39.76750746
466,116.5848582,39.7675498
467,116.5965335,39.76759098
468,116.6082089,39.76763097
478,116.1060815,39.77385973
479,116.1177568,39.77394907
480,116.1294321,39.77403724
481,116.1411075,39.77412424
482,116.152783,39.77421006
483,116.1644585,39.7742947
484,116.1761341,39.77437817
485,116.1878097,39.77446047
486,116.1994853,39.77454159
487,116.211161,39.77462154
488,116.2228368,39.77470032
489,116.2345126,39.77477792
490,116.2461884,39.77485434
491,116.2578643,39.77492959
492,116.2695402,39.77500367
493,116.2812162,39.77507657
494,116.2928922,39.7751483
495,116.3045682,39.77521885
496,116.3162443,39.77528823
497,116.3279204,39.77535643
498,116.3395966,39.77542346
499,116.3512728,39.77548931
500,116.3629491,39.77555399
501,116.3746253,39.7756175
502,116.3863017,39.77567983
503,116.397978,39.77574098
504,116.4096544,39.77580097
505,116.4213308,39.77585977
506,116.4330073,39.7759174
507,116.4446838,39.77597386
508,116.4563603,39.77602914
509,116.4680369,39.77608325
510,116.4797135,39.77613619
511,116.4913901,39.77618794
512,116.5030667,39.77623853
513,116.5147434,39.77628794
514,116.5264201,39.77633617
515,116.5380969,39.77638323
516,116.5497736,39.77642912
517,116.5614504,39.77647383
518,116.5731272,39.77651736
519,116.5848041,39.77655972
520,116.5964809,39.77660091
521,116.6081578,39.77664092
532,116.1176417,39.78295815
533,116.1293186,39.78304635
534,116.1409955,39.78313337
535,116.1526725,39.78321922
536,116.1643495,39.78330389
537,116.1760266,39.78338739
538,116.1877037,39.78346971
539,116.1993809,39.78355086
540,116.2110581,39.78363083
